deviceId,flowId,state,priority,tableId,isPermanent,packets,bytes
of:0000000000000015,281475840271662,ADDED,40000,0,True,348,48720
of:0000000000000015,21110624206582976,ADDED,10,0,False,0,0
of:0000000000000015,281475117324629,ADDED,40000,0,True,348,48720
of:0000000000000015,21110627349688554,ADDED,10,0,False,0,0
of:0000000000000015,281479059210865,ADDED,40000,0,True,7797,327474
of:0000000000000012,21110625729587075,ADDED,10,0,False,1,98
of:0000000000000012,21110624214325639,ADDED,10,0,False,1,98
of:0000000000000012,21110627082197531,ADDED,10,0,False,1,98
of:0000000000000012,281476897123366,ADDED,5,0,True,444,43512
of:0000000000000012,281476245399851,ADDED,40000,0,True,176,24640
of:0000000000000012,281479044310836,ADDED,40000,0,True,4247,178374
of:0000000000000012,21110627351580598,ADDED,10,0,False,1,98
of:0000000000000012,281478861190329,ADDED,40000,0,True,176,24640
of:0000000000000012,21110625043184314,ADDED,10,0,False,1,98
of:0000000000000012,21110626863860428,ADDED,10,0,False,1,98
of:0000000000000012,21110623981131597,ADDED,10,0,False,1,98
of:0000000000000012,21110626408916819,ADDED,10,0,False,1,98
of:0000000000000012,21110626490396130,ADDED,10,0,False,1,98
of:0000000000000012,21110623795316966,ADDED,10,0,False,1,98
of:0000000000000012,21110627284105964,ADDED,10,0,False,1,98
of:0000000000000012,21110625448860909,ADDED,10,0,False,1,98
of:0000000000000012,21110627200105715,ADDED,10,0,False,1,98
of:0000000000000012,21110624936030325,ADDED,10,0,False,1,98
of:0000000000000013,21110624882957187,ADDED,10,0,False,1,98
of:0000000000000013,281475270889989,ADDED,40000,0,True,10706,449652
of:0000000000000013,281478968414341,ADDED,40000,0,True,536,75040
of:0000000000000013,21110623427586565,ADDED,10,0,False,1,98
of:0000000000000013,21110625499686151,ADDED,10,0,False,1,98
of:0000000000000013,21110627078629132,ADDED,10,0,False,1,98
of:0000000000000013,281477862700812,ADDED,5,0,True,2221,217658
of:0000000000000013,21110625685453462,ADDED,10,0,False,1,98
of:0000000000000013,21110623266498331,ADDED,10,0,False,1,98
of:0000000000000013,21110626264173091,ADDED,10,0,False,1,98
of:0000000000000013,21110624946596388,ADDED,10,0,False,1,98
of:0000000000000013,21110625445777702,ADDED,10,0,False,1,98
of:0000000000000013,21110627397048233,ADDED,10,0,False,1,98
of:0000000000000013,21110627170653610,ADDED,10,0,False,1,98
of:0000000000000013,21110623949603631,ADDED,10,0,False,1,98
of:0000000000000013,21110624649210676,ADDED,10,0,False,1,98
of:0000000000000013,21110624980706493,ADDED,10,0,False,1,98
